disease_name,department
Alzheimer,
Buồng Trứng Đa Nang,
Bàn Chân Đái Tháo Đường,
Bàng Quang Tăng Hoạt,
Béo Phì Độ 1,
Béo Phì,
Băng Huyết Sau Sinh,
Bướu Cổ Lành Tính,
Bướu Cổ Ác Tính,
Bướu Giáp Keo,
Bướu Giáp Lan Tỏa,
Bướu Giáp Nhân Thùy Phải,
Bướu Giáp Đa Nhân 2 Thùy,
Bướu Tuyến Giáp Đa Nhân,
Bế Sản Dịch,
Bệnh Basedow,
Bệnh Bạch Hầu,ENT
Bệnh Chlamydia,
Bệnh Chàm,Dermatology
Bệnh Crohn,Gastroenterology
Bệnh Cúm,Respiratory
Bệnh Cơ Tim Giãn Nở,
Bệnh Cơ Tim Phì Đại,
Bệnh Cườm Nước Glaucoma,
Bệnh Dại,
Bệnh Giang Mai,Dermatology
Bệnh Giun Lươn,Gastroenterology
Bệnh Giun Rồng,Gastroenterology
Bệnh Giun Đũa,Gastroenterology
Bệnh Giun Đầu Gai,Gastroenterology
Bệnh Giác Mạc Hình Chóp,
Bệnh Gout Cấp Tính,
Bệnh Gout,
Bệnh Ho,Respiratory
Bệnh Hở Van Tim,
Bệnh Lao Phổi,Respiratory
Bệnh Lý Ống Phúc Tinh Mạc,
Bệnh Lậu,
Bệnh Moyamoya,
Bệnh Mù Màu,
Bệnh Mạch Vành,
Bệnh Nhiễm Sán Chó,Gastroenterology
Bệnh Nhược Cơ,
Bệnh Parkinson,
Bệnh Phổi Tắc Nghẽn Mạn Tính (COPD),Respiratory
Bệnh Polyp Mũi,ENT
Bệnh Quai Bị,ENT
Bệnh Rubella,Dermatology
Bệnh Rận Mu,Dermatology
Bệnh Sán Dây Lợn,Gastroenterology
Bệnh Sán Dây,Gastroenterology
Bệnh Sán Lá Gan,Gastroenterology
Bệnh Tay Chân Miệng,Dermatology
Bệnh Thoát Vị Bẹn,
Bệnh Thần Kinh Ngoại Biên,
Bệnh Thần Kinh Đái Tháo Đường,
Bệnh Thần Kinh,
Bệnh Thủy Đậu,Dermatology
Bệnh Tim Bẩm Sinh Không Tím,
Bệnh Tim Bẩm Sinh Tím,
Bệnh Tim Bẩm Sinh,
Bệnh Trĩ Huyết Khối,Gastroenterology
Bệnh Trĩ Ngoại,Gastroenterology
Bệnh Trĩ Nội,Gastroenterology
Bệnh Trĩ Sau Sinh,Gastroenterology
Bệnh Trĩ,Gastroenterology
Bệnh Túi Thừa Đại Tràng,Gastroenterology
Bệnh Tắc Tĩnh Mạch Võng Mạc,
Bệnh Tự Miễn,
Bệnh Van Tim,
Bệnh Viêm Cơ Tim,
Bệnh Viêm Gan B,Gastroenterology
Bệnh Viêm Gan,Gastroenterology
Bệnh Viêm Họng Cấp,ENT
Bệnh Viêm Họng,ENT
Bệnh Viêm Loét Dạ Dày,Gastroenterology
Bệnh Viêm Tụy Cấp,Gastroenterology
Bệnh Viêm Xoang,ENT
Bệnh Võng Mạc Tiểu Đường,
Bệnh Whitmore,
Bệnh Xốp Xơ Tai,ENT
Bệnh Đau Dây Thần Kinh Sinh Ba,
Bệnh Đậu Mùa Khỉ,Dermatology
Bệnh Đậu Mùa,Dermatology
Bệnh Động Kinh,
Bụi Phổi Silic,Respiratory
Bụi Phổi,Respiratory
Chuyển Dạ Kéo Dài,
Chuyển Dạ Đình Trệ,
Chuyển Phôi Thất Bại,
Chàm Đồng Tiền,Dermatology
Chóng Mặt Khi Nằm Xuống Giường,ENT
Chóng Mặt Tư Thế Kịch Phát Lành Tính,ENT
Chóng Mặt,ENT
Chướng Bụng Đầy Hơi,Gastroenterology
Chấn Thương Sọ Não,
Chậm Kinh,
Còi Xương,
Còn Ống Động Mạch,
Cúm A H5N1,Respiratory
Cơn Gò Chuyển Dạ Giả,
Cường Giáp,
Cận Thị,
Cứng Khớp,
Dây Rốn Bám Màng,
Dương Vật Cong,
Dậy Thì Sớm,
Dị Vật Trong Mắt,
Dị Ứng Mắt,
Gai Cột Sống,
Gai Xương,
Gan Nhiễm Mỡ Độ 1,Gastroenterology
Gan Nhiễm Mỡ Độ 2,Gastroenterology
Gan Nhiễm Mỡ Độ 3,Gastroenterology
Gan Nhiễm Mỡ,Gastroenterology
Gan To,Gastroenterology
Giun Xoắn,Gastroenterology
Giãn Phế Quản,Respiratory
Giãn Tĩnh Mạch Thừng Tinh,
Hen Suyễn,Respiratory
Herpes Sinh Dục,Dermatology
Herpes,Dermatology
Hiếm Muộn,
HPV,Dermatology
Hạ Đường Huyết,
Hạt Tophi,
Hạt Xơ Dây Thanh Quảng,ENT
Hậu Môn Bị Sưng,Gastroenterology
Hẹp Bao Quy Đầu,
Hẹp Khe Khớp Gối,
Hẹp Mạch Vành,
Hẹp Van Hai Lá,
Hẹp Van Động Mạch Chủ,
Hẹp Van Động Mạch Phổi,
Hẹp Động Mạch Cảnh,
Hội Chứng Brugada,
Hội Chứng Fournier,
Hội Chứng HELLP,
Hội Chứng Kallmann,
Hội Chứng Klinefelter,
Hội Chứng Lối Thoát Lồng Ngực,
Hội Chứng Mông Chết,
Hội Chứng Ruột Kích Thích,Gastroenterology
Hội Chứng Stevens Johnson,Dermatology
Hội Chứng Sudeck,
Hội Chứng Suy Giảm Miễn Dịch,
Hội Chứng Swyer,
Hội Chứng Thận Hư,
Hội Chứng Ống Cổ Tay,
Hở Van 2 Lá,
Hở Van Tim 3 Lá,
Insulinoma,
Khàn Tiếng,ENT
Khí Phế Thũng,Respiratory
Khó Thở,Respiratory
Khô Khớp,
Khô Âm Đạo,
Không Có Tinh Trùng,
Liệt Dây Thanh Quản,ENT
Liệt Mặt,ENT
Loãng Xương,
Loạn Thị,
Lupus Ban Đỏ Dạng Đĩa,Dermatology
Lupus Ban Đỏ Hệ Thống,Dermatology
Lõm Ngực Bẩm Sinh,
Lẹo Mắt,
Lệch Vách Ngăn Mũi,ENT
Lỗ Tiểu Lệch Thấp,
